Well Name,Date,Oil (BBLS),Gas (MCF),Water (BBLS),TP,CP,Comments,Sales Pressure,Flow Rate Sales,Flow Rate Flare
Moreland #1,9/7/2024,0,0,0,20,23,Off,908.4,1125.72,
VRE Minerals #1,9/7/2024,0,0,0,0,0,,30.42,0.02,0
Moreland #1,9/6/2024,0,0,0,20,23,,908.4,1125.72,
VRE Minerals #1,9/6/2024,0,0,0,0,0,,31.14,0.15,0
Moreland #1,9/5/2024,0,0,0,20,23,Off,908.4,1125.72,
VRE Minerals #1,9/5/2024,0,1,0,0,0,,31.63,0.1,0
Moreland #1,9/4/2024,0,0,0,20,23,Off,908.4,1125.72,
VRE Minerals #1,9/4/2024,0,1,0,0,0,Off,31.96,0.41,0
Moreland #1,9/3/2024,0,0,0,20,23,Off,908.4,1125.72,
VRE Minerals #1,9/3/2024,0,1,0,0,0,Off,32.47,1.33,0
Moreland #1,9/2/2024,0,0,0,20,23,Off,908.4,1125.72,
VRE Minerals #1,9/2/2024,0,0,0,0,0,Off,39.13,0.39,0
Moreland #1,9/1/2024,0,0,0,20,23,Off,908.4,1125.72,
VRE Minerals #1,9/1/2024,0,0,0,0,0,Off,43.85,0.29,0
Moreland #1,8/31/2024,0,0,0,20,23,Off,908.4,1125.72,
VRE Minerals #1,8/31/2024,0,0,0,0,0,Off,42.39,0.23,0
Moreland #1,8/30/2024,0,0,0,20,23,Off,908.4,1125.72,
VRE Minerals #1,8/30/2024,0,0,0,0,0,Off,35.45,0,0
Moreland #1,8/29/2024,0,0,0,20,23,Off,908.4,1125.72,
VRE Minerals #1,8/29/2024,0,0,0,0,0,Off,35.09,0.07,0
Moreland #1,8/28/2024,0,0,0,20,23,Off,908.4,1125.72,
VRE Minerals #1,8/28/2024,0,0,0,0,0,Off,39.62,0.08,0
Moreland #1,8/27/2024,0,0,0,20,23,Off,908.4,1125.72,
VRE Minerals #1,8/27/2024,0,0,0,0,0,Off,34.49,0.1,0
Moreland #1,8/26/2024,0,0,0,20,23,Off,908.4,1125.72,
VRE Minerals #1,8/26/2024,0,0,0,0,0,Off,27.66,0,0
Moreland #1,8/25/2024,0,0,0,20,23,Off,908.4,1125.72,
VRE Minerals #1,8/25/2024,0,0,0,0,0,Off,27.56,0.04,0
Moreland #1,8/24/2024,0,0,0,20,23,,908.4,1125.72,
VRE Minerals #1,8/24/2024,0,0,0,0,0,Off,28.66,0.09,0
Moreland #1,8/23/2024,0,0,0,20,23,Off,,,
VRE Minerals #1,8/23/2024,0,0,0,0,0,Off,23.03,0.27,0
Moreland #1,8/22/2024,0,0,0,20,23,Off,911.25,1270.27,
VRE Minerals #1,8/22/2024,0,0,0,0,0,Off,21.55,0.24,0
Moreland #1,8/21/2024,0,0,0,20,23,Off,807.18,973.15,
VRE Minerals #1,8/21/2024,0,0,0,0,0,Off,24.74,0.26,0
Moreland #1,8/20/2024,0,0,0,20,23,Off,914.75,1523.62,
VRE Minerals #1,8/20/2024,0,0,0,0,0,,28.79,0.11,0
Moreland #1,8/19/2024,0,0,0,20,23,,906.8,1497.98,
VRE Minerals #1,8/19/2024,0,0,0,0,0,,27.62,0.04,0
Moreland #1,8/18/2024,0,0,0,20,23,Off,906.8,1497.98,
VRE Minerals #1,8/18/2024,0,0,0,0,0,,23.45,0.08,0
Moreland #1,8/17/2024,0,0,0,20,23,,906.8,1497.98,
VRE Minerals #1,8/17/2024,0,0,0,0,0,Off,25.67,0.02,0
Moreland #1,8/16/2024,0,0,0,20,23,Off,906.8,1497.98,
VRE Minerals #1,8/16/2024,0,0,0,0,0,Off,26.33,0.09,0
Moreland #1,8/15/2024,0,0,0,20,23,,906.8,1497.98,
VRE Minerals #1,8/15/2024,0,0,0,0,0,Off,24.2,0.08,0
Moreland #1,8/14/2024,0,0,0,20,23,"No pump action, turned off",,,
VRE Minerals #1,8/14/2024,0,0,0,0,0,Off,22.54,0.04,0
Moreland #1,8/13/2024,0,0,0,0,23,Turned on unit,,,
VRE Minerals #1,8/13/2024,0,0,0,0,0,Off,20.2,0.17,0
Moreland #1,8/12/2024,0,0,0,0,25,Off,,,
VRE Minerals #1,8/12/2024,0,0,0,0,0,Off,18.55,0,0
Moreland #1,8/11/2024,0,0,0,0,25,Off,906.8,1497.98,
VRE Minerals #1,8/11/2024,0,0,0,0,0,,18.8,0.06,0
Moreland #1,8/10/2024,0,0,0,0,25,,906.8,1497.98,
VRE Minerals #1,8/10/2024,0,0,0,0,0,,18.97,0.06,0
Moreland #1,8/9/2024,0,0,0,0,25,Off,906.8,1497.98,
VRE Minerals #1,8/9/2024,0,0,0,0,0,Off,19.09,0.12,0
Moreland #1,8/8/2024,0,0,0,0,25,Off,906.8,1497.98,
VRE Minerals #1,8/8/2024,0,0,0,0,0,Off,19.74,0.08,0
Moreland #1,8/7/2024,0,0,0,0,25,Off,906.8,1497.98,
VRE Minerals #1,8/7/2024,0,0,0,0,0,Off,17.35,0.2,0
Moreland #1,8/6/2024,0,0,0,0,25,,906.8,1497.98,
VRE Minerals #1,8/6/2024,0,0,0,0,0,Off,16.06,0.05,0
Moreland #1,8/5/2024,0,0,0,0,25,Off,,,
