Well Name,Date,Oil (BBLS),Gas (MCF),Water (BBLS),TP,CP,Comments
JM Moore 178,2024-03-15,5.01,0,1.67,0,0,Venting gas 112 mcf
JM Moore 192,2024-03-15,10.02,0,144.0,0,0,
Joe #1,2024-03-15,0.0,0,0.0,0,0,
Kleimann #3,2024-03-15,0.0,0,0.0,0,0,
MCWF #1,2024-03-15,0.0,0,297.64,0,0,
Paddy 19 State #1 & #5,2024-03-15,2.76,0,16.5,0,0,
Palm #1,2024-03-15,0.0,0,0.0,0,0,
Preston #1,2024-03-15,0.0,0,0.0,0,0,
Rhodes #1,2024-03-15,0.0,0,0.0,0,0,
Vermillion #1,2024-03-15,0.0,0,0.0,0,0,
White Marlin #1,2024-03-15,0.0,0,0.0,0,0,
Blair TXL 7 #1,2024-03-14,41.25,92,141.0,0,0,
Blair TXL 7 #2,2024-03-14,2.79,13,0.0,0,0,
Blair TXL 7 #3,2024-03-14,8.0,0,0.0,0,0,
Branton #1,2024-03-14,0.0,0,0.0,0,0,
Davis Lease,2024-03-14,0.0,0,0.0,0,0,
JM Moore 178,2024-03-14,5.01,0,1.67,0,0,Venting gas 114 mcf
JM Moore 192,2024-03-14,6.68,0,115.0,0,0,
Kleimann #3,2024-03-14,0.0,0,0.0,0,0,
MCWF #1,2024-03-14,0.0,0,285.47,0,0,
Paddy 19 State #1 & #5,2024-03-14,2.76,0,19.25,0,0,
Palm #1,2024-03-14,0.0,0,0.0,0,0,
Preston #1,2024-03-14,0.0,0,0.0,0,0,
Rhodes #1,2024-03-14,0.0,0,0.0,0,0,
Blair TXL 7 #1,2024-03-13,38.5,87,132.0,0,0,
Blair TXL 7 #2,2024-03-13,8.37,13,0.0,0,0,
Blair TXL 7 #3,2024-03-13,8.0,0,0.0,0,0,
Branton #1,2024-03-13,0.0,0,0.0,0,0,
Davis Lease,2024-03-13,0.0,0,16.5,0,0,Circulated water off of tank 2. Gauge at 5’ 5”
JM Moore 178,2024-03-13,5.01,0,1.67,0,0,Venting gas 110 mcf
JM Moore 192,2024-03-13,13.36,0,137.0,0,0,
Kleimann #3,2024-03-13,0.0,0,0.0,0,0,
MCWF #1,2024-03-13,0.0,0,19.58,0,0,
Paddy 19 State #1 & #5,2024-03-13,0.0,0,19.25,0,0,
Palm #1,2024-03-13,0.0,0,0.0,0,0,
Preston #1,2024-03-13,0.0,0,0.0,0,0,
Rhodes #1,2024-03-13,0.0,0,0.0,0,0,
Blair TXL 7 #1,2024-03-12,41.25,88,138.5,0,0,
Blair TXL 7 #2,2024-03-12,8.37,13,0.0,0,0,
Blair TXL 7 #3,2024-03-12,11.0,0,0.0,0,0,
Branton #1,2024-03-12,0.0,0,0.0,0,0,
Davis Lease,2024-03-12,0.0,0,0.0,0,0,
JM Moore 178,2024-03-12,6.68,0,1.67,0,0,Venting gas 115 mcf
JM Moore 192,2024-03-12,13.36,0,140.0,0,0,
Kleimann #3,2024-03-12,0.0,0,0.0,0,0,
MCWF #1,2024-03-12,0.0,0,200.05,0,0,
Paddy 19 State #1 & #5,2024-03-12,2.76,0,22.0,0,0,
Palm #1,2024-03-12,0.0,0,0.0,0,0,
Preston #1,2024-03-12,0.0,0,0.0,0,0,
Rhodes #1,2024-03-12,0.0,0,0.0,0,0,
Blair TXL 7 #1,2024-03-11,35.75,89,144.5,0,0,
Blair TXL 7 #2,2024-03-11,8.37,13,0.0,0,0,
Blair TXL 7 #3,2024-03-11,0.0,0,0.0,0,0,
Branton #1,2024-03-11,0.0,0,0.0,0,0,
Davis Lease,2024-03-11,0.0,0,0.0,0,0,
JM Moore 178,2024-03-11,3.34,0,1.16,0,0,Venting gas 113 mcf
JM Moore 192,2024-03-11,6.26,0,143.0,0,0,
Kleimann #3,2024-03-11,0.0,0,0.0,0,0,
MCWF #1,2024-03-11,0.0,0,176.37,0,0,
Paddy 19 State #1 & #5,2024-03-11,0.0,0,106.25,0,0,
Palm #1,2024-03-11,0.0,0,0.0,0,0,
Preston #1,2024-03-11,0.0,0,0.0,0,0,
Rhodes #1,2024-03-11,0.0,0,0.0,0,0,
Blair TXL 7 #1,2024-03-10,33.0,85,138.0,0,0,
Blair TXL 7 #2,2024-03-10,11.16,13,0.0,0,0,
Blair TXL 7 #3,2024-03-10,0.0,0,0.0,0,0,
Branton #1,2024-03-10,0.0,0,0.0,0,0,
Davis Lease,2024-03-10,0.0,0,0.0,0,0,
JM Moore 178,2024-03-10,5.01,0,1.67,0,0,Venting gas 115 mcf
JM Moore 192,2024-03-10,6.68,0,120.0,0,0,
Kleimann #3,2024-03-10,0.0,0,0.0,0,0,
MCWF #1,2024-03-10,0.0,0,284.53,0,0,
Paddy 19 State #1 & #5,2024-03-10,2.76,0,22.0,0,0,
Palm #1,2024-03-10,0.0,0,0.0,0,0,
Preston #1,2024-03-10,0.0,0,0.0,0,0,
Rhodes #1,2024-03-10,0.0,0,0.0,0,0,
Blair TXL 7 #1,2024-03-09,30.25,88,136.0,0,0,
Blair TXL 7 #2,2024-03-09,8.37,12,0.0,0,0,
Blair TXL 7 #3,2024-03-09,0.0,0,0.0,0,0,
Branton #1,2024-03-09,0.0,0,0.0,0,0,
Davis Lease,2024-03-09,0.0,0,19.25,0,0,Shut down #1
JM Moore 178,2024-03-09,5.01,0,1.67,0,0,Venting gas 113 mcf
JM Moore 192,2024-03-09,6.68,0,128.0,0,0,
Kleimann #3,2024-03-09,0.0,0,0.0,0,0,
MCWF #1,2024-03-09,0.0,0,335.0,0,0,
Paddy 19 State #1 & #5,2024-03-09,0.0,0,27.5,0,0,
Palm #1,2024-03-09,0.0,0,0.0,0,0,
Preston #1,2024-03-09,0.0,0,0.0,0,0,
Rhodes #1,2024-03-09,0.0,0,0.0,0,0,
Blair TXL 7 #1,2024-03-08,30.25,85,148.0,0,0,
Blair TXL 7 #2,2024-03-08,2.91,12,0.0,0,0,
Blair TXL 7 #3,2024-03-08,0.0,0,0.0,0,0,
Branton #1,2024-03-08,0.0,0,0.0,0,0,
Davis Lease,2024-03-08,0.0,0,16.5,0,0,
JM Moore 178,2024-03-08,5.01,0,0.0,0,0,Venting gas 112 mcf
JM Moore 192,2024-03-08,8.35,0,135.0,0,0,
Joe #1,2024-03-08,0.0,0,0.0,0,0,
Kleimann #3,2024-03-08,0.0,0,0.0,0,0,
MCWF #1,2024-03-08,0.0,0,82.66,0,0,
Montemayor #1,2024-03-08,0.0,0,0.0,0,0,
Paddy 19 State #1 & #5,2024-03-08,0.0,0,16.5,0,0,
Palm #1,2024-03-08,-146.04,0,0.0,0,0,Production has been adjusted in the GRT system (from 7/2023 through 3/2024) to zero out BS&W.  B.Milam
Preston #1,2024-03-08,0.0,0,0.0,0,0,
Rhodes #1,2024-03-08,-162.08,0,0.0,0,0,Production has been adjusted in GRT system (from 5/2022 through 3/2024) to zero out BS&W. B.Milam
Vermillion #1,2024-03-08,0.0,0,0.0,0,0,
White Marlin #1,2024-03-08,0.0,0,0.0,0,0,
Blair TXL 7 #1,2024-03-07,33.0,85,135.5,0,0,
Blair TXL 7 #2,2024-03-07,8.37,13,0.0,0,0,
Blair TXL 7 #3,2024-03-07,0.0,0,0.0,0,0,
Branton #1,2024-03-07,0.0,0,0.0,0,0,
Davis Lease,2024-03-07,0.0,0,19.25,0,0,
JM Moore 178,2024-03-07,5.01,0,1.67,0,0,Venting gas 111 mcf
JM Moore 192,2024-03-07,8.35,0,130.0,0,0,
Joe #1,2024-03-07,0.0,0,0.0,0,0,
Kleimann #3,2024-03-07,0.0,0,0.0,0,0,
MCWF #1,2024-03-07,0.0,0,202.21,0,0,
Montemayor #1,2024-03-07,0.0,0,0.0,0,0,
Paddy 19 State #1 & #5,2024-03-07,8.28,0,267.75,0,0,Well 1 off resting.
Palm #1,2024-03-07,0.0,0,0.0,0,0,
Preston #1,2024-03-07,0.0,0,0.0,0,0,
Rhodes #1,2024-03-07,0.0,0,0.0,0,0,
Vermillion #1,2024-03-07,0.0,0,0.0,0,0,"Well shut in, well has no unit"
White Marlin #1,2024-03-07,0.0,0,0.0,0,0,Well shut in
Blair TXL 7 #1,2024-03-06,33.0,75,147.0,0,0,
Blair TXL 7 #2,2024-03-06,8.28,12,0.0,0,0,
