Well Name,Date,Oil (BBLS),Gas (MCF),Water (BBLS),TP,CP,Comments
Lottie #1,2024-08-26,5.0,0.0,127.0,50,50,
Mueller #1,2024-08-26,0.0,0.0,0.0,1500,0,S.I.
Pratka #1,2024-08-26,2.0,46.0,3.0,800,0,
CL Moore 12,2024-08-25,0.0,0.0,0.0,25,25,Well dn
Dyer 'D' #5,2024-08-25,0.0,0.0,0.0,1000,0,S.I.
JM Moore,2024-08-25,46.0,0.0,1080.0,50,50,192:  178: Venting gas 112 mcf
Lottie #1,2024-08-25,7.0,0.0,126.0,50,50,
Mueller #1,2024-08-25,0.0,0.0,0.0,1500,0,S.I.
Pratka #1,2024-08-25,2.0,51.0,3.0,800,0,
CL Moore 12,2024-08-24,0.0,0.0,0.0,25,25,Well dn
Dyer 'D' #5,2024-08-24,0.0,0.0,0.0,1000,0,S.I.
JM Moore,2024-08-24,43.0,0.0,951.0,50,50,192:  178: Venting gas 112 mcf
Lottie #1,2024-08-24,8.0,0.0,130.0,50,50,
Mueller #1,2024-08-24,0.0,0.0,0.0,1500,0,S.I.
Pratka #1,2024-08-24,3.0,47.0,3.0,800,0,
CL Moore 12,2024-08-23,0.0,0.0,0.0,25,25,Well dn
Dyer 'D' #5,2024-08-23,0.0,0.0,0.0,1000,0,S.I.
JM Moore,2024-08-23,48.0,0.0,1134.0,50,50,192:  178: Venting gas 114 mcf
Lottie #1,2024-08-23,7.0,0.0,124.0,50,50,
Mueller #1,2024-08-23,0.0,0.0,0.0,1500,0,S.I.
Pratka #1,2024-08-23,2.0,35.0,2.0,800,0,
CL Moore 12,2024-08-22,0.0,0.0,0.0,25,25,Well dn
Dyer 'D' #5,2024-08-22,0.0,0.0,0.0,1000,0,S.I.
JM Moore,2024-08-22,55.0,0.0,1025.0,50,50,192:  178: Venting gas 115 mcf
Lottie #1,2024-08-22,7.0,0.0,120.0,50,50,
Mueller #1,2024-08-22,0.0,0.0,0.0,1500,0,S.I.
Pratka #1,2024-08-22,2.0,42.0,3.0,800,0,
CL Moore 12,2024-08-21,0.0,0.0,0.0,25,25,Well dn
Dyer 'D' #5,2024-08-21,0.0,0.0,0.0,1000,0,S.I.
JM Moore,2024-08-21,42.0,0.0,1166.0,50,50,192:  178: Venting gas 114 mcf
Lottie #1,2024-08-21,7.0,0.0,124.0,50,50,
Mueller #1,2024-08-21,5.0,0.0,43.0,1500,0,S.w.I.
Pratka #1,2024-08-21,2.0,38.0,3.0,800,0,
CL Moore 12,2024-08-20,0.0,0.0,0.0,25,25,Well dn
Dyer 'D' #5,2024-08-20,0.0,0.0,0.0,1000,0,S.I.
JM Moore,2024-08-20,49.0,0.0,968.0,50,50,192:  178: Venting gas 115 mcf
Lottie #1,2024-08-20,5.0,0.0,130.0,50,50,
