Well Name,Oil (BBLS),Gas (MCF),Water (BBLS),TP,CP,Date
CL Moore 12,2369.0,0.0,22977.0,0.0,0.0,2007-03-01
Lottie #1,551.0,0.0,4342.0,900.0,0.0,2007-03-01
Lottie #1,534.0,0.0,4119.0,900.0,0.0,2007-04-01
Gulf Coast Total,7064.0,30701.0,59791.0,14100.0,0.0,2007-04-01
CL Moore 12,2586.0,0.0,26270.0,0.0,0.0,2007-04-01
Mueller #1,136.0,15834.0,905.0,5550.0,0.0,2007-04-01
JM Moore,3702.0,7475.0,28405.0,0.0,0.0,2007-04-01
Dyer 'D' #5,106.0,7392.0,92.0,7650.0,0.0,2007-04-01
Dyer 'D' #5,116.0,8582.0,77.0,4385.0,0.0,2007-05-01
Gulf Coast Total,6431.0,32628.0,59118.0,10005.0,0.0,2007-05-01
CL Moore 12,2887.0,250.0,26800.0,0.0,0.0,2007-05-01
Mueller #1,140.0,16662.0,986.0,5020.0,0.0,2007-05-01
JM Moore,3003.0,7134.0,28864.0,0.0,0.0,2007-05-01
Lottie #1,285.0,0.0,2391.0,600.0,0.0,2007-05-01
Gulf Coast Total,7382.0,31092.0,62897.0,11600.0,0.0,2007-06-01
CL Moore 12,2672.0,0.0,25820.0,0.0,0.0,2007-06-01
Lottie #1,235.0,0.0,3068.0,720.0,0.0,2007-06-01
JM Moore,4260.0,6768.0,32978.0,0.0,0.0,2007-06-01
Mueller #1,124.0,15422.0,957.0,4500.0,0.0,2007-06-01
Dyer 'D' #5,91.0,8902.0,74.0,6380.0,0.0,2007-06-01
JM Moore,5251.0,7522.0,36773.0,0.0,0.0,2007-07-01
Mueller #1,135.0,15510.0,942.0,5270.0,0.0,2007-07-01
Dyer #10,57.0,6662.0,88.0,24400.0,0.0,2007-07-01
CL Moore 12,2589.0,0.0,25750.0,0.0,0.0,2007-07-01
Gulf Coast Total,8545.0,38578.0,67536.0,36960.0,0.0,2007-07-01
Dyer 'D' #5,55.0,8884.0,91.0,6360.0,0.0,2007-07-01
Lottie #1,458.0,0.0,3892.0,930.0,0.0,2007-07-01
Lottie #1,471.0,0.0,3867.0,930.0,0.0,2007-08-01
Mueller #1,121.0,15419.0,939.0,4690.0,0.0,2007-08-01
Dyer #10,835.0,43998.0,1840.0,125270.0,0.0,2007-08-01
CL Moore 12,1214.0,191.0,14553.0,0.0,0.0,2007-08-01
Dyer 'D' #5,79.0,7876.0,86.0,4040.0,0.0,2007-08-01
Gulf Coast Total,8734.0,74461.0,56070.0,134930.0,0.0,2007-08-01
JM Moore,6014.0,6977.0,34785.0,0.0,0.0,2007-08-01
Dyer #10,720.0,42994.0,2122.0,97900.0,0.0,2007-09-01
Dyer 'D' #5,63.0,6630.0,57.0,4950.0,0.0,2007-09-01
JM Moore,6858.0,6377.0,29680.0,0.0,0.0,2007-09-01
CL Moore 12,2377.0,206.0,24460.0,0.0,0.0,2007-09-01
Gulf Coast Total,10521.0,70098.0,60584.0,108850.0,0.0,2007-09-01
Mueller #1,81.0,13891.0,887.0,5190.0,0.0,2007-09-01
Lottie #1,422.0,0.0,3378.0,810.0,0.0,2007-09-01
Lottie #1,525.0,0.0,3953.0,900.0,0.0,2007-10-01
Dyer 'D' #5,105.0,8397.0,71.0,5020.0,0.0,2007-10-01
JM Moore,5545.0,5572.0,31073.0,0.0,0.0,2007-10-01
CL Moore 12,2077.0,0.0,21840.0,0.0,0.0,2007-10-01
Dyer #10,530.0,36286.0,3213.0,60250.0,0.0,2007-10-01
Gulf Coast Total,8857.0,64733.0,61005.0,72355.0,0.0,2007-10-01
Mueller #1,75.0,14478.0,855.0,6185.0,0.0,2007-10-01
Dyer 'D' #5,43.0,7392.0,86.0,3700.0,0.0,2007-11-01
CL Moore 12,2578.0,85.0,24050.0,870.0,0.0,2007-11-01
JM Moore,5312.0,4933.0,32993.0,0.0,0.0,2007-11-01
Mueller #1,112.0,12581.0,708.0,8875.0,0.0,2007-11-01
Dyer #10,330.0,28271.0,3050.0,32550.0,0.0,2007-11-01
Lottie #1,366.0,0.0,2778.0,645.0,0.0,2007-11-01
Gulf Coast Total,8741.0,53262.0,63665.0,46640.0,0.0,2007-11-01
JM Moore,5491.0,4383.0,37030.0,0.0,0.0,2007-12-01
Lottie #1,149.0,0.0,1958.0,420.0,0.0,2007-12-01
Dyer 'D' #5,73.0,7168.0,62.0,5695.0,0.0,2007-12-01
Mueller #1,185.0,13166.0,830.0,8580.0,0.0,2007-12-01
