API14,Well Name,Well Number
42169335090000,BROTHERS HORIZON,4
42169335089000,JOHN UNIT WATERFLOOD,11
42169335080200,JOHN UNIT WATERFLOOD,11
42169335080100,JOHN UNIT WATERFLOOD,11
42169335080000,JOHN UNIT WATERFLOOD,11
42169335070000,BROTHERS HORIZON,3
42169335050000,BROTHERS HORIZON,2
42169335020000,JOHN UNIT WATERFLOOD,8
42169335010000,BROTHERS HORIZON,1
42169334990000,"DAVIS, ET AL",1
42169334960000,JOHN UNIT WATERFLOOD,1
42169334880100,JOHN UNIT WATERFLOOD,6
42169334880000,JOHN UNIT WATERFLOOD,6
42169334840000,JOHN UNIT WATERFLOOD,7
42169334810100,JOHN UNIT WATERFLOOD,25
42169334810001,JOHN UNIT WATERFLOOD,25
42169334810000,JOHN UNIT WATERFLOOD,25
42169334670000,JOHN UNIT WATERFLOOD,4
42169334660000,JOHN UNIT WATERFLOOD,5
42169334650000,JOHN UNIT WATERFLOOD,3
42169334540000,JOHN UNIT WATERFLOOD,2
42169333420200,JOHN UNIT WATERFLOOD,15
42169333420100,JOHN UNIT WATERFLOOD,15
42169333420001,JOHN UNIT WATERFLOOD,15
42169333420000,JOHN UNIT WATERFLOOD,15
42169333410000,JOHN UNIT WATERFLOOD,13
42169333200000,JOHN UNIT WATERFLOOD,14
42169332980000,JACK,1
42169330420000,JOHN UNIT WATERFLOOD,12
42169324500000,SLAUGHTER,4
42169322680000,SLAUGHTER,3
42169320610001,SLAUGHTER,2
42169320610000,SLAUGHTER,2
42169319530000,SLAUGHTER,1
42169100260000,DAVIS,1
42169100250001,DAVIS,2
42169100250000,DAVIS,2
42157808930000,"MOORE, J. M.",43
42157802990000,"MOORE, J. M., ETAL",155
42157331650000,ROONEY,2
42157329890000,FULLER,1
42157329880000,ROONEY,1
42157328800000,MELTON,1
42157327550000,GEORGE FOUNDATION,1
42157326320000,HIGHLAND,1
42157325160000,PERRY,1
42157324560000,DYER UNIT,10
42157324060000,DYER UNIT,9
42157323790000,DYER,7
42157323570100,KUJAWA UNIT,1X
42157323570000,KUJAWA UNIT,1X
42157323160000,DYER,8
42157323080000,MUELLER,1
42157322730000,AMERICAN BRECO UNIT,3XD
42157322700000,AMERICAN BRECO,5
42157322030000,HILMAR,2
