Date,Time,Well Name,Seating Nipple Depth (ft),Pump Run Date,Surface Unit API,Strokes Per Minute (SPM),Maximum Plunger Stroke (in),Pump Displacement (BBL/D),Gas Free Above Pump (ft),Fluid Above Pump (ft),Adjusted Displacement (BBL/D),Plunger OD (in),Adjusted EPT (in),Effective Plunger Travel (in)
03/28/2024,04:51:28 PM,Booth Beeler #9 RE,5716,03/28/2024,,,,,77,77,,,,
06/11/2024,11:50:03 AM,Booth Beeler #9 RE,5716,03/28/2024,,,,,56,61,,,,
07/12/2023,12:45:20 PM,Bruce Weaver #1,6529,03/23/2022,,,,,1033,1397,,,,
07/12/2023,12:57:32 PM,Bruce Weaver #1,6529,03/23/2022,,4.25,75.43,25,,,0,,0.1,22.27
12/07/2023,10:00:50 AM,Bruce Weaver #1,6495,12/01/2023,,4.39,76.78,33,,,18,,18.8,35.44
12/07/2023,10:03:04 AM,Bruce Weaver #1,6495,12/01/2023,,,,,1354,1807,,,,
06/28/2023,04:24:29 PM,Bruce Weaver #2 RE,5442,06/23/2023,C-640-305-168,4.50,122.83,127,,,198,,122.8,79.10
07/13/2023,11:26:21 AM,Bruce Weaver #2 RE,5442,06/23/2023,C-640-305-168,5.66,123.45,234,,,0,,0.1,110.03
07/13/2023,11:39:36 AM,Bruce Weaver #2 RE,5442,06/23/2023,C-640-305-168,,,,1113,3104,,,,
07/24/2023,11:59:50 AM,Bruce Weaver #2 RE,5448,07/18/2023,C-640-305-168,5.97,127.36,318,,,354,,127.3,114.10
07/24/2023,12:19:34 PM,Bruce Weaver #2 RE,5448,07/18/2023,C-640-305-168,,,,1891,3328,,,,
07/31/2023,10:15:41 AM,Bruce Weaver #2 RE,5448,07/18/2023,C-640-305-168,5.95,121.18,332,,,304,,109.4,119.36
07/31/2023,10:30:05 AM,Bruce Weaver #2 RE,5448,07/18/2023,C-640-305-168,,,,1195,3112,,,,
09/21/2023,01:55:00 PM,Bruce Weaver #2 RE,5448,07/18/2023,C-640-305-168,5.59,122.35,353,,,336,,114.4,120.19
09/21/2023,02:13:43 PM,Bruce Weaver #2 RE,5448,07/18/2023,C-640-305-168,,,,1174,3459,,,,
10/17/2023,02:46:02 PM,Bruce Weaver #2 RE,5448,07/18/2023,C-640-305-168,,,,1581,2327,,,,
11/21/2023,02:24:27 PM,Bruce Weaver #2 RE,5448,07/18/2023,C-640-305-168,5.52,116.27,294,,,281,,109.0,114.18
11/21/2023,02:37:49 PM,Bruce Weaver #2 RE,5448,07/18/2023,C-640-305-168,,,,2208,3802,,,,
12/05/2023,02:44:01 PM,Bruce Weaver #2 RE,5448,07/18/2023,C-640-305-168,,,,2964,3550,,,,
12/05/2023,02:47:00 PM,Bruce Weaver #2 RE,5448,07/18/2023,C-640-305-168,6.39,116.05,350,,,296,,95.3,112.66
01/31/2024,02:43:35 PM,Bruce Weaver #2 RE,5448,07/18/2023,C-640-305-168,,,,,,,,,
01/31/2024,02:46:19 PM,Bruce Weaver #2 RE,5448,07/18/2023,C-640-305-168,,,,583,2851,,,,
01/31/2024,03:03:01 PM,Bruce Weaver #2 RE,5448,07/18/2023,C-640-305-168,6.41,110.91,164,,,144,,60.6,68.95
01/31/2024,03:05:58 PM,Bruce Weaver #2 RE,5448,07/18/2023,C-640-305-168,,,,457,1946,,,,
01/31/2024,03:38:12 PM,Bruce Weaver #2 RE,5448,07/18/2023,C-640-305-168,5.02,109.45,242,,,233,,101.5,105.46
01/31/2024,03:43:31 PM,Bruce Weaver #2 RE,5448,07/18/2023,C-640-305-168,,,,485,1609,,,,
01/31/2024,04:15:21 PM,Bruce Weaver #2 RE,5448,07/18/2023,C-640-305-168,,,,1419,1847,,,,
02/02/2024,01:04:47 PM,Bruce Weaver #2 RE,5448,07/18/2023,C-640-305-168,6.61,114.00,106,,,37,,12.0,34.26
02/02/2024,01:07:14 PM,Bruce Weaver #2 RE,5448,07/18/2023,C-640-305-168,,,,838,4483,,,,
03/05/2024,03:34:49 PM,
03/05/2024,03:34:49 PM,Bruce Weaver #2 RE,5448,07/18/2023,C-640-305-168,6.47,115.06,308,,,264,,85.7,100.23
03/05/2024,03:37:48 PM,Bruce Weaver #2 RE,5448,07/18/2023,C-640-305-168,,,,630,1821,,,,
03/08/2024,08:16:34 AM,Bruce Weaver #2 RE,5448,07/18/2023,C-640-305-168,5.47,111.91,300,,,287,,102.5,107.06
03/08/2024,08:17:44 AM,Bruce Weaver #2 RE,5448,07/18/2023,C-640-305-168,,,,1315,1599,,,,
03/08/2024,08:26:36 AM,Bruce Weaver #2 RE,5448,07/18/2023,C-640-305-168,,,,444,1580,,,,
03/26/2024,09:14:17 AM,Bruce Weaver #2 RE,5448,07/18/2023,C-640-305-168,6.88,124.68,143,,,0,,0.1,44.60
03/26/2024,09:28:55 AM,Bruce Weaver #2 RE,5448,07/18/2023,C-640-305-168,6.76,122.64,145,,,0,,0.1,46.28
03/26/2024,09:30:55 AM,Bruce Weaver #2 RE,5448,07/18/2023,C-640-305-168,,,,415,1677,,,,
03/26/2024,10:44:40 AM,Bruce Weaver #2 RE,5448,07/18/2023,C-640-305-168,,,,1111,1178,,,,
03/26/2024,10:52:07 AM,Bruce Weaver #2 RE,5448,07/18/2023,C-640-305-168,5.67,115.67,279,,,268,,106.6,111.10
03/26/2024,11:02:07 AM,Bruce Weaver #2 RE,5448,07/18/2023,C-640-305-168,,,,1096,1151,,,,
03/26/2024,11:43:21 AM,Bruce Weaver #2 RE,5448,07/18/2023,C-640-305-168,5.55,117.15,292,,,275,,104.7,111.44
03/26/2024,11:47:43 AM,Bruce Weaver #2 RE,5448,07/18/2023,C-640-305-168,,,,880,1066,,,,
03/26/2024,04:39:15 PM,Bruce Weaver #2 RE,5448,07/18/2023,C-640-305-168,5.70,105.47,143,,,96,,36.1,53.80
03/26/2024,04:43:33 PM,Bruce Weaver #2 RE,5448,07/18/2023,C-640-305-168,,,,1111,1541,,,,
03/26/2024,05:01:21 PM,Bruce Weaver #2 RE,5448,07/18/2023,C-640-305-168,,,,1492,1492,,,,
03/26/2024,05:18:34 PM,Bruce Weaver #2 RE,5448,07/18/2023,C-640-305-168,6.40,102.26,292,,,281,,93.8,97.44
03/27/2024,04:55:59 PM,Bruce Weaver #2 RE,5448,07/18/2023,C-640-305-168,6.59,112.74,315,,,294,,90.7,97.09
03/27/2024,04:58:01 PM,Bruce Weaver #2 RE,5448,07/18/2023,C-640-305-168,,,,701,1424,,,,
03/28/2024,12:44:02 PM,Bruce Weaver #2 RE,5448,07/18/2023,C-640-305-168,6.83,105.56,326,,,315,,99.0,102.28
03/28/2024,12:45:44 PM,Bruce Weaver #2 RE,5448,07/18/2023,C-640-305-168,,,,430,665,,,,
03/30/2024,10:15:05 AM,Bruce Weaver #2 RE,5448,07/18/2023,C-640-305-168,7.41,107.29,333,,,321,,97.5,101.17
03/30/2024,10:16:51 AM,Bruce Weaver #2 RE,5448,07/18/2023,C-640-305-168,,,,487,2033,,,,
03/30/2024,10:49:03 AM,Bruce Weaver #2 RE,5448,07/18/2023,C-640-305-168,,,,415,1316,,,,
03/31/2024,10:24:28 AM,Bruce Weaver #2 RE,5448,07/18/2023,C-640-305-168,7.14,109.49,351,,,340,,102.8,106.07
04/23/2024,11:22:38 AM,Bruce Weaver #2 RE,5448,07/18/2023,C-640-305-168,6.79,115.73,144,,,98,,30.5,44.61
04/23/2024,11:23:25 AM,Bruce Weaver #2 RE,5448,07/18/2023,C-640-305-168,,,,430,1578,,,,
04/23/2024,01:05:26 PM,Bruce Weaver #2 RE,5448,07/18/2023,C-640-305-168,,,,522,522,,,,
04/23/2024,01:10:00 PM,Bruce Weaver #2 RE,5448,07/18/2023,C-640-305-168,6.62,106.54,308,,,295,,95.2,99.21
