Well Name,Formation,API14,Well  Number,EUR,Oil [MBO],Gas [MMCF],Aug Oil [BBLS],Aug Gas [MCF],Date,Active
TORTUGA RANCH #1H,,4250732350.0,,,0.6000000000000001,0.0,,,2011-10-02,False
TRIPLE J #2,AUSTIN CHALK,4250732701.0,3850.006,,66.2,1.0,100.0,0.0,2007-02-08,True
TRIPLITT UNIT #1H,,4212733635.0,,,3.3,44.0,,,2010-01-15,False
TROTTER #1,AUSTIN CHALK,4212733726.0,8650.006,,84.7,81.0,138.6,0.0,2010-09-27,True
VERMILLION #1,GEORGETOWN,4212737316.0,3855.01,,36.2,367.0,14.0,0.0,2016-10-18,True
VERNA #1,AUSTIN CHALK,4212733663.0,8650.005,,116.3,66.0,2.0,0.0,2010-03-28,True
VRE MINERALS #1,GEORGETOWN,4212738366.0,9125.004,,16.2,23.0,91.8,264.0,2021-04-27,True
WHITE MARLIN #1,BUDA,4212737308.0,3855.008,,2.2,0.0,2.0,0.0,2018-05-04,True
WHITTINGTON #1,GEORGETOWN,4250733326.0,3855.013,,19.3,0.0,122.9,0.0,2018-08-20,True
WOODWARD #1,,4250732853.0,1825.004,,3.0,0.0,,,2012-02-20,False
