well,id,run_ticket_number,date,date_string,updated_at,type,total
Drinkard #1,1971419.0,,1704175200.0,2024-01-02,1970-01-01 00:00:01.704175200,OIL,140.28
Drinkard #1,1969474.0,014107,1704002400.0,2023-12-31,1970-01-01 00:00:01.704002400,WATER,120.0
Drinkard #1,1966310.0,,1703743200.0,2023-12-28,1970-01-01 00:00:01.703743200,OIL,25.05
Drinkard #1,1966312.0,,1703743200.0,2023-12-28,1970-01-01 00:00:01.703743200,OIL,25.05
Drinkard #1,1966309.0,2913651,1703656800.0,2023-12-27,1970-01-01 00:00:01.703656800,OIL,161.0
Drinkard #1,1966311.0,144701,1703656800.0,2023-12-27,1970-01-01 00:00:01.703656800,WATER,70.0
Drinkard #1,1963886.0,,1703570400.0,2023-12-26,1970-01-01 00:00:01.703570400,OIL,58.45
Drinkard #1,1963889.0,,1703570400.0,2023-12-26,1970-01-01 00:00:01.703570400,OIL,58.45
Drinkard #1,1964975.0,14164,1703570400.0,2023-12-26,1970-01-01 00:00:01.703570400,WATER,120.0
Drinkard #1,1963888.0,2905911,1703484000.0,2023-12-25,1970-01-01 00:00:01.703484000,OIL,185.0
Drinkard #1,1962611.0,014944,1703397600.0,2023-12-24,1970-01-01 00:00:01.703397600,WATER,130.0
Drinkard #1,1961687.0,2900581,1703311200.0,2023-12-23,1970-01-01 00:00:01.703311200,OIL,156.0
Drinkard #1,1961688.0,,1703311200.0,2023-12-23,1970-01-01 00:00:01.703311200,OIL,28.39
Drinkard #1,1961689.0,,1703311200.0,2023-12-23,1970-01-01 00:00:01.703311200,OIL,28.39
Drinkard #1,1959545.0,2897911,1703138400.0,2023-12-21,1970-01-01 00:00:01.703138400,OIL,181.0
Drinkard #1,1960581.0,blackgold,1703138400.0,2023-12-21,1970-01-01 00:00:01.703138400,WATER,130.0
Drinkard #1,1958445.0,,1703052000.0,2023-12-20,1970-01-01 00:00:01.703052000,OIL,16.7
Drinkard #1,1958446.0,2894541,1703052000.0,2023-12-20,1970-01-01 00:00:01.703052000,OIL,187.0
Drinkard #1,1958447.0,,1703052000.0,2023-12-20,1970-01-01 00:00:01.703052000,OIL,16.7
Drinkard #1,1957265.0,,1702965600.0,2023-12-19,1970-01-01 00:00:01.702965600,OIL,18.37
Drinkard #1,1957267.0,,1702965600.0,2023-12-19,1970-01-01 00:00:01.702965600,OIL,18.37
Drinkard #1,1958448.0,139308,1702965600.0,2023-12-19,1970-01-01 00:00:01.702965600,WATER,100.0
Drinkard #1,1957266.0,2886711,1702879200.0,2023-12-18,1970-01-01 00:00:01.702879200,OIL,185.0
Drinkard #1,1956058.0,14916,1702792800.0,2023-12-17,1970-01-01 00:00:01.702792800,WATER,120.0
Drinkard #1,1953439.0,,1702620000.0,2023-12-15,1970-01-01 00:00:01.702620000,OIL,80.16
Drinkard #1,1953441.0,2879531,1702620000.0,2023-12-15,1970-01-01 00:00:01.702620000,OIL,123.0
Drinkard #1,1953442.0,,1702620000.0,2023-12-15,1970-01-01 00:00:01.702620000,OIL,80.16
Drinkard #1,1954185.0,14255,1702620000.0,2023-12-15,1970-01-01 00:00:01.702620000,WATER,120.0
Drinkard #1,1952508.0,,1702533600.0,2023-12-14,1970-01-01 00:00:01.702533600,OIL,31.73
Drinkard #1,1952509.0,144907,1702533600.0,2023-12-14,1970-01-01 00:00:01.702533600,WATER,100.0
Drinkard #1,1952510.0,,1702533600.0,2023-12-14,1970-01-01 00:00:01.702533600,OIL,31.73
Drinkard #1,1952512.0,2877361,1702533600.0,2023-12-14,1970-01-01 00:00:01.702533600,OIL,184.0
Drinkard #1,1950120.0,146402,1702274400.0,2023-12-11,1970-01-01 00:00:01.702274400,WATER,65.0
Drinkard #1,1947459.0,,1702188000.0,2023-12-10,1970-01-01 00:00:01.702188000,OIL,30.06
Drinkard #1,1947461.0,,1702188000.0,2023-12-10,1970-01-01 00:00:01.702188000,OIL,30.06
Drinkard #1,1948516.0,14880,1702188000.0,2023-12-10,1970-01-01 00:00:01.702188000,WATER,120.0
Drinkard #1,1946619.0,,1702101600.0,2023-12-09,1970-01-01 00:00:01.702101600,OIL,25.05
Drinkard #1,1946620.0,,1702101600.0,2023-12-09,1970-01-01 00:00:01.702101600,OIL,25.05
Drinkard #1,1947460.0,2865811,1702101600.0,2023-12-09,1970-01-01 00:00:01.702101600,OIL,188.0
Drinkard #1,1946621.0,14873,1702015200.0,2023-12-08,1970-01-01 00:00:01.702015200,WATER,120.0
Drinkard #1,1946622.0,2862981,1702015200.0,2023-12-08,1970-01-01 00:00:01.702015200,OIL,188.0
Drinkard #1,1944512.0,2856751,1701928800.0,2023-12-07,1970-01-01 00:00:01.701928800,OIL,186.0
Drinkard #1,1944513.0,,1701928800.0,2023-12-07,1970-01-01 00:00:01.701928800,OIL,38.41
Drinkard #1,1944514.0,,1701928800.0,2023-12-07,1970-01-01 00:00:01.701928800,OIL,38.41
Dunkle #2,1972207.0,13706,1704175200.0,2024-01-02,1970-01-01 00:00:01.704175200,WATER,120.0
Dunlap #1,1964902.0,2910221,1703656800.0,2023-12-27,1970-01-01 00:00:01.703656800,OIL,190.7
Eileen #1,1974703.0,10524,1704520800.0,2024-01-06,1970-01-01 00:00:01.704520800,WATER,120.0
Eileen #1,1946628.0,13479,1702015200.0,2023-12-08,1970-01-01 00:00:01.702015200,WATER,120.0
Eileen #1,1945590.0,2856861,1701928800.0,2023-12-07,1970-01-01 00:00:01.701928800,OIL,183.0
Evergreen #1,1964971.0,2908141,1703656800.0,2023-12-27,1970-01-01 00:00:01.703656800,OIL,191.1
Evergreen #1,1945550.0,2859871,1702015200.0,2023-12-08,1970-01-01 00:00:01.702015200,OIL,185.6
Fatheree #1,1953347.0,,1702620000.0,2023-12-15,1970-01-01 00:00:01.702620000,OIL,93.52
Fatheree #1,1953348.0,2877371,1702620000.0,2023-12-15,1970-01-01 00:00:01.702620000,OIL,191.0
Fatheree #1,1953349.0,014438,1702620000.0,2023-12-15,1970-01-01 00:00:01.702620000,WATER,125.0
Fatheree #1,1948289.0,,1702274400.0,2023-12-11,1970-01-01 00:00:01.702274400,OIL,60.12
Fatheree #1,1948290.0,2865821,1702274400.0,2023-12-11,1970-01-01 00:00:01.702274400,OIL,190.0
Fatheree #1,1948291.0,6698,1702274400.0,2023-12-11,1970-01-01 00:00:01.702274400,WATER,130.0
Fatheree #1,1947236.0,6643,1702188000.0,2023-12-10,1970-01-01 00:00:01.702188000,WATER,130.0
Flower #1,1973889.0,2925541,1704348000.0,2024-01-04,1970-01-01 00:00:01.704348000,OIL,185.0
Flower #1,1963913.0,13960,1703484000.0,2023-12-25,1970-01-01 00:00:01.703484000,WATER,120.0
Flower #1,1960585.0,2894551,1703224800.0,2023-12-22,1970-01-01 00:00:01.703224800,OIL,181.0
Flower #1,1957269.0,14917,1702879200.0,2023-12-18,1970-01-01 00:00:01.702879200,WATER,120.0
Gail #1,1971301.0,2917921,1704175200.0,2024-01-02,1970-01-01 00:00:01.704175200,OIL,185.0
Gail #1,1966208.0,2897931,1703743200.0,2023-12-28,1970-01-01 00:00:01.703743200,OIL,189.0
Gail #1,1964176.0,blackgold,1703570400.0,2023-12-26,1970-01-01 00:00:01.703570400,WATER,130.0
Gail #1,1953350.0,014907,1702620000.0,2023-12-15,1970-01-01 00:00:01.702620000,WATER,130.0
Gail #1,1950087.0,,1702360800.0,2023-12-12,1970-01-01 00:00:01.702360800,OIL,120.24
Grissom #1,1974704.0,2939471,1704520800.0,2024-01-06,1970-01-01 00:00:01.704520800,OIL,190.0
Grissom #1,1974705.0,,1704520800.0,2024-01-06,1970-01-01 00:00:01.704520800,OIL,16.7
J Beeler #1,1974644.0,,1704520800.0,2024-01-06,1970-01-01 00:00:01.704520800,OIL,45.09
J Beeler #1,1974645.0,,1704520800.0,2024-01-06,1970-01-01 00:00:01.704520800,OIL,45.09
J Beeler #1,1974646.0,013172,1704520800.0,2024-01-06,1970-01-01 00:00:01.704520800,WATER,130.0
J Beeler #1,1974647.0,2942231,1704520800.0,2024-01-06,1970-01-01 00:00:01.704520800,OIL,184.0
J Beeler #1,1973166.0,013163,1704348000.0,2024-01-04,1970-01-01 00:00:01.704348000,WATER,120.0
J Beeler #1,1972277.0,,1704261600.0,2024-01-03,1970-01-01 00:00:01.704261600,OIL,100.2
J Beeler #1,1972278.0,,1704261600.0,2024-01-03,1970-01-01 00:00:01.704261600,OIL,100.2
J Beeler #1,1971303.0,013153,1704175200.0,2024-01-02,1970-01-01 00:00:01.704175200,WATER,130.0
J Beeler #1,1970026.0,014194,1704088800.0,2024-01-01,1970-01-01 00:00:01.704088800,WATER,130.0
J Beeler #1,1969234.0,014191,1704002400.0,2023-12-31,1970-01-01 00:00:01.704002400,WATER,130.0
J Beeler #1,1968300.0,013974,1703916000.0,2023-12-30,1970-01-01 00:00:01.703916000,WATER,130.0
J Beeler #1,1966084.0,014167,1703743200.0,2023-12-28,1970-01-01 00:00:01.703743200,WATER,130.0
J Beeler #1,1965205.0,014161,1703656800.0,2023-12-27,1970-01-01 00:00:01.703656800,WATER,130.0
J Beeler #1,1964257.0,014994,1703570400.0,2023-12-26,1970-01-01 00:00:01.703570400,WATER,130.0
J Beeler #1,1962390.0,013952,1703397600.0,2023-12-24,1970-01-01 00:00:01.703397600,WATER,130.0
J Beeler #1,1958471.0,014926,1703052000.0,2023-12-20,1970-01-01 00:00:01.703052000,WATER,130.0
J Beeler #1,1947395.0,6697,1702188000.0,2023-12-10,1970-01-01 00:00:01.702188000,WATER,130.0
J Beeler #1,1945726.0,014865,1702015200.0,2023-12-08,1970-01-01 00:00:01.702015200,WATER,120.0
JIC #1,1974699.0,,1704520800.0,2024-01-06,1970-01-01 00:00:01.704520800,OIL,56.78
JIC #1,1973886.0,,1704434400.0,2024-01-05,1970-01-01 00:00:01.704434400,OIL,53.44
