,id,name,type,capacity,multiplier,created_at,updated_at
994,6973,DUAL PHASE 2,OIL/WATER,436,2.27,1449262645,1748345052
995,7093,DUAL PHASE 3,OIL/WATER,436,2.27,1449271618,1734468635
996,5030,Dunkle 2 Water,WATER,200,1.67,1440776947,1748295451
997,4979,Dunlap 1 Water,WATER,200,1.67,1440771626,1748380715
998,32112,Dunlap 1 Water Remot,OIL,200,1.67,1613058803,1722972393
999,6924,Dyer 1 Oil 1,OIL/WATER,400,1.67,1449244061,1721764915
1000,7226,Dyer 1 Water 1,WATER,210,1.16,1450212422,1721764915
1001,6936,Dyer 10 Water 1,WATER,200,1.67,1449244371,1721764915
1002,6928,Dyer 2 Sales Tap Wat,WATER,200,1.67,1449244183,1723218303
1003,6931,Dyer 5 D5 Water 1,WATER,210,1.67,1449244254,1748351775
1004,5133,Dyess 1 Water,WATER,200,1.67,1440779731,1748379031
1005,32061,Dyess 1 Water Remote,OIL,400,1.67,1612903228,1722972392
1006,8019,East Lott Water,WATER,500,2.75,1456342733,1657891545
1007,8266,Edwards 12 Water 1,WATER,500,2.75,1461009109,1748288511
1008,8269,EE 12 Water 1,WATER,500,2.75,1461009177,1469815512
1009,14874,EE Water,WATER,500,2.75,1520529700,1748288630
1010,23336,Eileen 1 Oil 1,OIL,400,1.67,1570464061,1748295450
1011,23337,Eileen 1 Oil 2,OIL,400,1.67,1570464061,1748295450
1012,23392,Eileen 1 Oil 3,OIL,400,1.67,1570481429,1748295450
1013,23393,Eileen 1 Oil 4,OIL,400,1.67,1570481429,1748295450
1014,23338,Eileen 1 Water 1,WATER,400,1.67,1570464061,1748295450
1015,29188,Eileen R New Oil,OIL/WATER,400,1.67,1594183214,1748380567
1016,29189,Eileen R New Water,OIL/WATER,400,1.67,1594183214,1734468635
1017,23339,Eileen R Oil 1,OIL,400,1.67,1570465150,1734468635
1018,23340,Eileen R Oil 2,OIL,400,1.67,1570465150,1734468635
1019,23341,Eileen R Oil 3,OIL,400,1.67,1570465150,1734468635
1020,23342,Eileen R Oil 4,OIL,400,1.67,1570465150,1734468635
1021,23343,Eileen R Water 1,WATER,400,1.67,1570465358,1734468635
1022,6777,Etta 1 Oil 1,OIL/WATER,300,1.67,1449115236,1721764914
1023,6778,Etta 1 Oil 2,OIL/WATER,300,1.67,1449115236,1721764914
1024,6779,Etta 1 Water 1,WATER,500,2.27,1449115236,1721764914
1025,6780,Etta 1 Water 2,WATER,200,1.67,1449115236,1721764914
1026,49051,Eva Water 1,WATER,210,1.67,1746634085,1748345049
1027,4982,Evergreen 1 Water,WATER,200,1.67,1440771712,1748368681
1028,37624,Father Remote Oil 1,OIL/WATER,400,1.67,1654096848,1721764916
1029,37625,Father Remote Water,OIL/WATER,400,1.67,1654096848,1721764916
1030,37573,Fatheree 1 Oil 1,OIL,400,1.67,1653321487,1748358847
1031,37574,Fatheree 1 Oil 2,OIL,400,1.67,1653321488,1748358847
1032,37575,Fatheree 1 Oil 3,OIL,400,1.67,1653321488,1748038079
1033,37576,Fatheree 1 Oil 4,OIL,400,1.67,1653321488,1748038079
1034,37577,Fatheree 1 Wtr 1,WATER,400,1.67,1653321488,1748358847
1035,49300,FCF Oil 3,OIL/WATER,436,2.27,1747929542,1748345052
1036,6974,Feather CF Water 1,WATER,200,1.67,1449262663,1748345052
1037,7094,Flora 1 Water 1,WATER,300,1.67,1449271619,1748345056
1038,15050,Flora Oil 3,OIL/WATER,436,2.27,1521053170,1748345056
1039,5067,Flower 1 Water,WATER,200,1.67,1440778386,1748295449
1040,32051,Flower 1 Water Remot,OIL,200,1.67,1612899225,1722972392
1041,33763,Floyd 1 Water,WATER,210,1.16,1626878364,1748345052
1042,7039,Floyd 1 Water 1,WATER,300,1.67,1449265952,1734468635
1043,5044,Flying G 1 Water,WATER,210,1.16,1440777425,1721764914
1044,38925,Frac Tank #2526,OIL/WATER,500,4.9,1664571979,1748368681
1045,39022,Frac Tank #3464,OIL/WATER,500,4.9,1665436001,1748368681
1046,7096,Frazier 1 Water,WATER,200,1.67,1449271725,1721764915
1047,6977,Fridel 1 Water 1,WATER,200,1.67,1449262824,1739553776
1048,6874,G1 Oil 1,OIL/WATER,436,2.27,1449242467,1722974143
1049,6875,G1 Oil 2,OIL/WATER,436,2.27,1449242471,1722974143
1050,6876,G1 Oil 3,OIL/WATER,436,2.27,1449242472,1722974143
1051,6877,G1 Oil 4,OIL/WATER,210,1.16,1449242474,1722974143
1052,6878,G1 Water 1,WATER,300,1.67,1449242492,1722974143
1053,27887,Gail 1 Oil Remote,OIL/WATER,400,1.67,1584735331,1734468635
1054,29837,Gail 1 Water Remote,OIL/WATER,400,1.67,1603382083,1734468635
1055,10677,Gail Water,WATER,400,1.67,1483985040,1748379031
