well,id,run_ticket_number,date,date_string,updated_at,type,total
CR #201,1954696,2882201,1702706400,2023-12-16,1702706400,OIL,190.9
CR #301,1963930,2905871,1703570400,2023-12-26,1703570400,OIL,186.4
CR #301,1953211,2877351,1702533600,2023-12-14,1702533600,OIL,182.0
CR #302,1966513,2905881,1703656800,2023-12-27,1703656800,OIL,190.0
CR #302,1948583,2868121,1702274400,2023-12-11,1702274400,OIL,190.0
CR #401,1950114,2868131,1702274400,2023-12-11,1702274400,OIL,190.0
CR #501,1948582,2868141,1702274400,2023-12-11,1702274400,OIL,190.0
CR #939,1962368,2894531,1703397600,2023-12-24,1703397600,OIL,188.2
CR #939,1962369,,1703397600,2023-12-24,1703397600,OIL,77.18
CR #939,1961459,2900571,1703311200,2023-12-23,1703311200,OIL,190.4
CR #939,1961458,,1703311200,2023-12-23,1703311200,OIL,77.18
CR #939,1952158,,1702533600,2023-12-14,1702533600,OIL,81.72
CR #939,1952157,2875051,1702447200,2023-12-13,1702447200,OIL,188.2
CR #939,1950115,,1702360800,2023-12-12,1702360800,OIL,77.18
CR #939,1950116,2868151,1702274400,2023-12-11,1702274400,OIL,190.0
CT #1,1973872,2929771,1704348000,2024-01-04,1704348000,OIL,191.5
CT #1,1970225,2920851,1704002400,2023-12-31,1704002400,OIL,190.0
CT #1,1969251,013998,1704002400,2023-12-31,1704002400,WATER,130.0
CT #1,1966339,2913641,1703656800,2023-12-27,1703656800,OIL,191.1
CT #1,1963218,013956,1703484000,2023-12-25,1703484000,WATER,130.0
CT #1,1963219,2905891,1703397600,2023-12-24,1703397600,OIL,180.4
CT #1,1960639,2897901,1703138400,2023-12-21,1703138400,OIL,191.0
CT #1,1958420,014971,1702965600,2023-12-19,1702965600,WATER,130.0
CT #1,1955929,2886701,1702879200,2023-12-18,1702879200,OIL,190.6
CT #1,1954726,2882211,1702706400,2023-12-16,1702706400,OIL,192.8
CT #1,1952229,2875061,1702447200,2023-12-13,1702447200,OIL,182.0
CT #1,1947513,2863801,1702101600,2023-12-09,1702101600,OIL,152.0
CT #1,1946692,12281,1702101600,2023-12-09,1702101600,WATER,130.0
CT #1,1946693,2859861,1702015200,2023-12-08,1702015200,OIL,190.0
Cannan #1,1972988,013165,1704261600,2024-01-03,1704261600,WATER,120.0
Cannan #1,1969244,2923571,1703916000,2023-12-30,1703916000,OIL,190.4
Cannan #1,1968302,013988,1703829600,2023-12-29,1703829600,WATER,120.0
Cannan #1,1966514,014169,1703656800,2023-12-27,1703656800,WATER,130.0
Cannan #1,1962370,014300,1703311200,2023-12-23,1703311200,WATER,120.0
Cannan #1,1959508,014929,1703052000,2023-12-20,1703052000,WATER,130.0
Cannan #1,1955963,014268,1702792800,2023-12-17,1702792800,WATER,120.0
Cannan #1,1953212,014254,1702533600,2023-12-14,1702533600,WATER,130.0
Cannan #1,1952159,12299,1702447200,2023-12-13,1702447200,WATER,130.0
Cannan #1,1948573,014882,1702188000,2023-12-10,1702188000,WATER,120.0
Cannan #1,1947086,2863731,1702101600,2023-12-09,1702101600,OIL,186.4
Cannan #1,1947085,12280,1702015200,2023-12-08,1702015200,WATER,130.0
Carolpick #1,1968298,2913561,1703916000,2023-12-30,1703916000,OIL,190.0
Carolpick #1,1952184,2875011,1702533600,2023-12-14,1702533600,OIL,188.0
Carolpick #1,1950084,2863741,1702360800,2023-12-12,1702360800,OIL,192.0
Carolyn #1,1970973,2917851,1704175200,2024-01-02,1704175200,OIL,176.0
Carolyn #1,1970972,,1704175200,2024-01-02,1704175200,OIL,83.5
Carolyn #1,1969232,2908071,1704002400,2023-12-31,1704002400,OIL,182.0
Carolyn #1,1969233,,1704002400,2023-12-31,1704002400,OIL,76.82
Carolyn #1,1967146,2908061,1703829600,2023-12-29,1703829600,OIL,191.0
Carolyn #1,1967147,,1703829600,2023-12-29,1703829600,OIL,83.5
